Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 08 23:00,5404.8004215581,0,1632.39048398031
Year 1 Jan 09 0:00,2866.8217426579,0,149.24179646217
Year 1 Jan 09 1:00,3006.2262110925,0,73.2926104169826
Year 1 Jan 09 2:00,3059.59474159572,0,73.2926104169826
Year 1 Jan 09 3:00,3108.79339245867,0,73.2926104169826
Year 1 Jan 09 4:00,3134.93867339062,0,73.2926104169826
Year 1 Jan 09 5:00,4706.02973828278,0,73.2926104169826
Year 1 Jan 09 6:00,6532.46356018074,0,73.2926104169826
Year 1 Jan 09 7:00,6086.17374871646,0,429.874775032858
Year 1 Jan 09 8:00,4888.46937407099,0,1988.34660328931
Year 1 Jan 09 9:00,4381.87228909038,0,2335.23203585185
Year 1 Jan 09 10:00,1912.2079898859,0,2063.72717938151
Year 1 Jan 09 11:00,0,0,268.282881917347
Year 1 Jan 09 12:00,0,0,268.282881917347
Year 1 Jan 09 13:00,0,0,268.282881917347
Year 1 Jan 09 14:00,0,0,268.282881917347
Year 1 Jan 09 15:00,2480.52239569883,0,268.282881917347
Year 1 Jan 09 16:00,2530.34673407783,0,268.282881917347
Year 1 Jan 09 17:00,3688.08257798113,0,610.705825464329
Year 1 Jan 09 18:00,5759.96737230476,0,686.655011509517
Year 1 Jan 09 19:00,5437.08077690476,0,1031.08159047369
Year 1 Jan 09 20:00,4984.31427115036,0,2153.25902830749
Year 1 Jan 09 21:00,8267.75195491099,0,2229.20821435268
Year 1 Jan 09 22:00,7683.12153550168,0,2117.57226868664
Year 1 Jan 09 23:00,6305.70132243426,0,1632.39048398031
Year 1 Jan 10 0:00,3381.2991350945,0,149.24179646217
Year 1 Jan 10 1:00,3538.82189471303,0,73.2926104169826
Year 1 Jan 10 2:00,3596.96348390374,0,73.2926104169826
Year 1 Jan 10 3:00,3664.4622341078,0,73.2926104169826
Year 1 Jan 10 4:00,3725.28791783262,0,73.2926104169826
Year 1 Jan 10 5:00,5355.26276073014,0,73.2926104169826
Year 1 Jan 10 6:00,7480.09078758651,0,73.2926104169826
Year 1 Jan 10 7:00,7248.44687265256,0,429.874775032858
Year 1 Jan 10 8:00,6057.06971639311,0,1988.34660328931
Year 1 Jan 10 9:00,5369.62425566811,0,2335.23203585185
Year 1 Jan 10 10:00,2326.04049139032,0,2063.72717938151
Year 1 Jan 10 11:00,0,0,268.282881917347
Year 1 Jan 10 12:00,0,0,268.282881917347
Year 1 Jan 10 13:00,0,0,268.282881917347
Year 1 Jan 10 14:00,0,0,268.282881917347
Year 1 Jan 10 15:00,2706.30349007801,0,268.282881917347
Year 1 Jan 10 16:00,2378.6023686995,0,268.282881917347
Year 1 Jan 10 17:00,3790.87733909625,0,610.705825464329
Year 1 Jan 10 18:00,5723.26136086996,0,686.655011509517
Year 1 Jan 10 19:00,5370.42945355153,0,1031.08159047369
Year 1 Jan 10 20:00,4897.39648944179,0,2153.25902830749
Year 1 Jan 10 21:00,8220.59139106399,0,2229.20821435268
Year 1 Jan 10 22:00,7804.61857485594,0,2117.57226868664
Year 1 Jan 10 23:00,6451.01877551513,0,1632.39048398031
Year 1 Jan 11 0:00,3404.46277316708,0,149.24179646217
Year 1 Jan 11 1:00,3514.50234075644,0,73.2926104169826
Year 1 Jan 11 2:00,3509.57149931056,0,73.2926104169826
Year 1 Jan 11 3:00,3527.65075180294,0,73.2926104169826
Year 1 Jan 11 4:00,3561.37497865942,0,73.2926104169826
Year 1 Jan 11 5:00,5188.02361566295,0,73.2926104169826
