solution_id,rack_id,rack_label,room_id,row,col,plot_row,plot_col,ac_unit,config_id,config_name,rho_load,alpha_age,epsilon_age,hotspot_risk
3135,room02_rack_it_026,26,room02,6,11,6,11,room02_cdz2,5,rdhx_wshp,0.15897266913657704,0.12804953229399968,0.12804953229399968,0.4847064346184782
3135,room02_rack_it_027,27,room02,6,10,6,10,room02_cdz2,5,rdhx_wshp,0.24766294700275904,0.12804953229399968,0.12804953229399968,0.4680341227527849
3135,room02_rack_it_028,28,room02,6,9,6,9,room02_cdz2,5,rdhx_wshp,0.08257241959410329,0.12804953229399968,0.12804953229399968,0.3953218832822555
3135,room02_rack_it_029,29,room02,6,7,6,7,room02_cdz3,6,cold_plate_cdu_wshp_plus_air,0.21715572132021227,0.12605107706077914,0.12605107706077914,0.3817397314631037
3135,room02_rack_it_030,30,room02,6,6,6,6,room02_cdz3,6,cold_plate_cdu_wshp_plus_air,0.1474603423460666,0.12605107706077914,0.12605107706077914,0.4185549507016776
3135,room02_rack_it_031,31,room02,6,5,6,5,room02_cdz3,6,cold_plate_cdu_wshp_plus_air,0.062784797442835,0.12605107706077914,0.12605107706077914,0.436148164161136
3135,room02_rack_it_032,32,room02,6,4,6,4,room02_cdz4,5,rdhx_wshp,0.2202089376544672,0.20520867696392747,0.20520867696392747,0.2647939343541334
3135,room02_rack_it_033,33,room02,10,20,10,20,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.14683873625211685,0.13196465295637558,0.13196465295637558,0.2732277592632678
3135,room02_rack_it_034,34,room02,10,19,10,19,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.06770795299075055,0.13196465295637558,0.13196465295637558,0.314627970051962
3135,room02_rack_it_035,35,room02,10,18,10,18,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.18905896517593018,0.13196465295637558,0.13196465295637558,0.3345744887835931
3135,room02_rack_it_036,36,room02,10,17,10,17,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.1984102490517738,0.13196465295637558,0.13196465295637558,0.3055446481639771
3135,room02_rack_it_037,37,room02,10,16,10,16,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.19469196370840142,0.13196465295637558,0.13196465295637558,0.2832597476682479
